	Study	Distractor
0	ingest	positive
1	spine	busybody
2	disk	melt
3	belong	leak
4	enzyme	furious
5	space	finger
6	rebellious	thrilled
7	startle	perfume
8	soil	honesty
9	tense	topless
10	condemn	positive
11	law	busybody
12	child	melt
13	failure	leak
14	hand	furious
15	awning	finger
16	pig	thrilled
17	vine	perfume
18	man	honesty
19	clothing	topless
20	suburb	positive
21	unjust	busybody
22	sword	melt
23	glow	leak
24	honor	furious
25	helpless	finger
26	item	thrilled
27	selfish	perfume
28	kick	honesty
29	engulf	topless
30	bomb	positive
31	chapel	busybody
32	skin	melt
33	sock	leak
34	calf	furious
35	maniac	finger
36	locate	thrilled
37	theory	perfume
38	blackmail	honesty
39	task	topless
40	gravy	positive
41	fate	busybody
42	national	melt
43	prejudice	leak
44	postman	furious
45	alter	finger
46	moth	thrilled
47	pompous	perfume
48	malt	honesty
49	helicopter	topless
